"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 27 15:42:18 UTC 2026","Thu Aug 27 15:42:54 UTC 2026","36695","Jubilacion Patronal","specs/JubilacionPatronal/jubilacionPatronal.test.ts","Verificar historias de Usuario para Jubilacion Patronal","","","Jubilacion Patronal| ACTAF 2412 | [SP] | TC08 : Usuario ingresa remuneraciones con valor menor al sueldo mínimo ($400)",""
"passed","Thu Aug 27 15:38:58 UTC 2026","Thu Aug 27 15:39:34 UTC 2026","35718","Jubilacion Patronal","specs/JubilacionPatronal/ACTAF-2216_cumplimiento_de_requisitos.test.ts","Verificar historias de Usuario para Jubilacion Patronal","","","Jubilacion Patronal | ACTAF-2216 | [AP] | TC04: Verificar info demografica es valida y no registra reingreso, la fecha de ingreso y salida es mayor por un dia a 20 años",""
"passed","Thu Aug 27 15:41:25 UTC 2026","Thu Aug 27 15:42:18 UTC 2026","52378","Jubilacion Patronal","specs/JubilacionPatronal/jubilacionPatronal.test.ts","Verificar historias de Usuario para Jubilacion Patronal","","","Jubilacion Patronal| ACTAF 2305 | [AP] |TC05 : Flujo con reingreso - Usuario selecciona ""Sí"". Verificar documento de Definicion de Remuneracion",""
"passed","Thu Aug 27 15:38:14 UTC 2026","Thu Aug 27 15:38:56 UTC 2026","42118","Jubilacion Patronal","specs/JubilacionPatronal/ACTAF-2216_cumplimiento_de_requisitos.test.ts","Verificar historias de Usuario para Jubilacion Patronal","","","Jubilacion Patronal | ACTAF-2216 | [SP] | TC01: Verificar alerta aparesca cuando primer ingreso no cumple con 14 años diferencia con edad",""
"passed","Thu Aug 27 15:43:00 UTC 2026","Thu Aug 27 15:43:14 UTC 2026","14228","Jubilacion Patronal","specs/JubilacionPatronal/jubilacionPatronal.test.ts","Verificar lista de Actas de Jubilación (Mis Actas)","","","Lista de Actas de Jubilación | [HP] | TC01: Usuario visualiza actas pendientes y continúa con la primera acta @daily",""
"passed","Thu Aug 27 15:38:14 UTC 2026","Thu Aug 27 15:38:58 UTC 2026","44087","Jubilacion Patronal","specs/JubilacionPatronal/ACTAF-2216_cumplimiento_de_requisitos.test.ts","Verificar historias de Usuario para Jubilacion Patronal","","","Jubilacion Patronal | ACTAF-2216 | [HP] | TC02: Verificar info demografica es valida y no registra reingreso, la fecha de ingreso y salida es mayor a 25 años",""
"skipped","Thu Aug 27 15:40:29 UTC 2026","Thu Aug 27 15:40:29 UTC 2026","0","Jubilacion Patronal","specs/JubilacionPatronal/jubilacionPatronal.test.ts","Verificar historias de Usuario para Jubilacion Patronal","","","Jubilacion Patronal| [DBG] | TC01-DEBUG: Capturar endpoints reales sin interceptación (Confirmar pedido)",""
"skipped","Thu Aug 27 15:41:25 UTC 2026","Thu Aug 27 15:41:25 UTC 2026","1","Jubilacion Patronal","specs/JubilacionPatronal/jubilacionPatronal.test.ts","Verificar historias de Usuario para Jubilacion Patronal","","","Jubilacion Patronal| [DBG] | TC04-DEBUG: Capturar endpoints reales sin interceptación (Reingreso)",""
"passed","Thu Aug 27 15:39:34 UTC 2026","Thu Aug 27 15:40:29 UTC 2026","55325","Jubilacion Patronal","specs/JubilacionPatronal/ACTAF-2216_cumplimiento_de_requisitos.test.ts","Verificar historias de Usuario para Jubilacion Patronal","","","Jubilacion Patronal | ACTAF-2216 | [SP] | TC05: Verificar info demografica es valida y no registra reingreso, la fecha de salida le falta un dia para completar 20 años",""
"passed","Thu Aug 27 15:41:08 UTC 2026","Thu Aug 27 15:42:08 UTC 2026","59341","Jubilacion Patronal","specs/JubilacionPatronal/jubilacionPatronal.test.ts","Verificar historias de Usuario para Jubilacion Patronal","","","Jubilacion Patronal| [AP] | TC04 : Flujo con reingreso - Usuario selecciona ""Sí"" , luego llena info normalmente",""
